Prompt,Parent_ID,Part_Number,Video_URL,Thumbnail_URL,Status,Is 1st done?,Is 2nd done?,Failed message,Created
"A stylized vertical animation, 9:16, 10 seconds.
Inside a quiet studio at night, a faceless artist figure made of soft light shapes sits at a desk surrounded by sketches and floating notes. The scene feels calm and dreamlike. As the room hums with gentle energy, the papers on the desk begin to glow and rise, forming abstract outlines of new worlds. The camera glides upward, following these luminous lines as they merge into drifting galaxies of color and motion. The focus is on the sense of imagination forming from stillness — not on any human details.
Mood: reflective, otherworldly, creative awakening.
Lighting: gentle blues and purples with soft gradients.
Style: painterly and original, no realism, no text or logos.",First test,1,https://videos.openai.com/vg-assets/assets%2Ftask_01k6vk0wj7e38bz2699jqj9kd2%2Ftask_01k6vk0wj7e38bz2699jqj9kd2_genid_1a23f37b-1c09-4299-b793-8f48fa4864d3_25_10_06_01_45_566121%2Fvideos%2F00000_wm%2Fsrc.mp4?st=2025-10-06T00%3A22%3A19Z&se=2025-10-12T01%3A22%3A19Z&sks=b&skt=2025-10-06T00%3A22%3A19Z&ske=2025-10-12T01%3A22%3A19Z&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skoid=aa5ddad1-c91a-4f0a-9aca-e20682cc8969&skv=2019-02-02&sv=2018-11-09&sr=b&sp=r&spr=https%2Chttp&sig=k3agkgrX5wEzb19gAT1TEaSdoo5S%2Fl8QpZMxypV%2Fx6Y%3D&az=oaivgprodscus,http://res.cloudinary.com/dt68zw5dr/image/upload/v1759715296/thjbfdwcsj9vadbnnpm4.png,done,,,,10/5/2025 9:55pm
"A vertical continuation of the previous scene. The glowing sketches evolve into a flowing landscape of color and form — floating shapes becoming forests, rivers, and light-bridges. Silhouettes of idea-like figures move gently through the space, shaping the environment with each gesture. The motion feels fluid, as if imagination is painting itself in midair.
Camera drifts through the glowing scene, passing abstract structures made of color and thought.
Mood: discovery, flow, wonder.
Lighting: luminous pastel tones, shifting between teal and violet.
Style: artistic and original, without any realistic humans or recognizable imagery.",First test,2,https://videos.openai.com/vg-assets/assets%2Ftask_01k6vppdgeepz9v1g9k0x8k3zb%2Ftask_01k6vppdgeepz9v1g9k0x8k3zb_genid_be70890d-7e9b-48f5-8dbf-5e00f050668a_25_10_06_02_50_168228%2Fvideos%2F00000_wm%2Fsrc.mp4?st=2025-10-06T01%3A16%3A31Z&se=2025-10-12T02%3A16%3A31Z&sks=b&skt=2025-10-06T01%3A16%3A31Z&ske=2025-10-12T02%3A16%3A31Z&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skoid=2905dc6d-d44b-4668-b712-e8787ddb94c0&skv=2019-02-02&sv=2018-11-09&sr=b&sp=r&spr=https%2Chttp&sig=Ky1Zx5EafPSNPMxKLglwU76oWizEdmvfd1aC2k%2BKoQY%3D&az=oaivgprodscus,http://res.cloudinary.com/dt68zw5dr/image/upload/v1759719125/afylv23j6daiwlh0gsec.png,done,Yes,,,10/5/2025 10:48pm
"The imagined world stabilizes into a glowing horizon of forms and symbols. The camera moves slowly forward as light particles merge into a single bright figure made of pure energy — representing the spark of a new idea. The scene expands outward, revealing infinite creative patterns flowing into the distance. The mood turns hopeful and inspiring, as if thought itself has become a living landscape.
End with a calm pulse of light fading to white.
Mood: fulfillment, harmony, creativity realized.
Lighting: radiant and balanced, soft gradients.
Style: fully original, abstract, no text, no human likeness, no branded design.",First test,3,,,pending,No,No,,10/5/2025 10:48pm
"TITLE: Churn Autopsy

CLIP: 1 (video_index 1)

CHARACTER (≈300 chars)

Nerida Quell — Female 32 + sinewy, bronzed skin with salt tint, undercut braid sea-black with teal + storm-gray eyes steady, a former lighthouse keeper turned night salvage diver chasing wreck-voices, driven by guilt, oilskin slick with spray under foghorn dusk, voice rough + warm holding suspense + brine breath.

WORLD / SETTING (≈800 chars)

Neon-lit analytics morgue. Stainless tables shimmer under cyan strips. Monitors hum with cold dashboards marked D2 retention. A translucent sheet covers a digital “body”—a dashboard grid faintly pulsing. Evidence trays hold printouts and devices tagged “time of death.” Off-screen, data drips like saline. The tone: forensic noir, analytic dread. Nerida enters through mist, flashlight glinting off chrome and condensation. We begin tight on the toe tag that reads “Retention.”

BEAT SCRIPT (≈1 500 chars)

0–2 s : Hook—close-up on toe tag reading “Retention D2,” flicker of chart flatline across it; Nerida: “No heartbeat since Tuesday noon.”

2–5 s : Build—she peels back the sheet; underneath, line charts pulse faintly like EKGs reconnecting. She traces dip points like veins. “Looks like oxygen left the funnel.”

5–8 s : Twist—UV mode reveals faint timezone stamps misaligned by one hour; a clue glowing like blood spatter. Her breath catches: “Not a dropout… a mis-sync.”

8–10 s : Lead—She snaps a photo on tablet; faint glitch reveals a missing playback segment. “We’ll need reconstruction.” Loop trigger: the misaligned timestamps briefly form the number 404.

CINEMATIC CRAFT (≈900 chars)

Lens: 40mm macro probe for toe-tag intro; gliding dolly to reveal chart pulse. Lighting: neon cyan top-strip, soft magenta fill. Movement: slow tracking foot-to-face cut; UV flicker strobe on reveal. Post: cool contrast, microfilm grain overlay; subtle distortion when timestamps align. Audio: low heartbeat bass, UV hum, breath texture. Signature transition: UV flicker dissolves into a clean gradient of cyan→dark teal for safe blend.

CRACKED.AI INTEGRATION LINE (≈300 chars)

She calls in Cracked.ai reconstruction to reanimate corrupted session replays—its forensic module can stitch the missing segments to reveal the real cause of metric death.

CONTROL BLOCK (≈600 chars)

Seed tokens: [analytics_morgue, retention_flatline, UV_scan, timezone_clue]

Continuity tags: [flatline_found, reconstruction_requested]

Negative tokens: [logos, faces, brand_ui, lens_flare]

Palette refs: [neon_cyan, magenta_fill, alloy_gray, paper_white]

Props / costume notes: [oilskin coat, flashlight, stainless tools, toe_tag]

SAFE-TRANSITION FRAME (≈400 chars)

Close on an abstract cyan glow pulse moving over metallic surface; sheet folds into soft gradient cyan→dark teal. No text, no faces, no logos; neutral, even light for continuity.",Churn Autopsy,1,http://res.cloudinary.com/dt68zw5dr/video/upload/v1759813961/sora_outputs/zmtvwzealswgcubxzoel.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1759814167/last_frames/lfhtfnlimdvighgt3dzx.png,done,No,No,,10/7/2025 10:54am
"TITLE: Churn Autopsy

CLIP: 2 (video_index 2)

CHARACTER (≈300 chars)

Aiden Frost — Male 27 + tall + wiry, pale silver-toned skin, messy black hair streaked cobalt + icy blue eyes; a street illusionist turned fugitive driven by regret + clever defiance, trench coat dripping stormlight + coin flipping through guilt. Filmed under rain-slick neon, voice low + measured, confidence fractured by memory.

WORLD / SETTING (≈800 chars)

Match in from prior cyan→teal gradient into a metallic workstation bathed in analytical glow. On screen: corrupted session logs scrolling like ECG signals. Aiden stands, half-lit by blue panel light. The hum of servers feels like rainfall against steel. His expression: restrained urgency, a magician solving data murder under floodlight stillness. Evidence of timezone drift and OAuth fragments line the table. He begins spooling wire into data forms.

BEAT SCRIPT (≈1 500 chars)

0–2 s : Transition—cyan glow resolves into monitors; Aiden flips a coin onto log printouts: “Let’s unmake the trick.”

2–5 s : Build—he scrubs through video chunks; every fifth frame collapses to black. “Session bleed… maybe packet loss?” Coil of replays shows ghosts of clicks.

5–8 s : Twist—on magnify, reveals an OAuth token mismatch timestamped exactly one hour apart. “The drift matches your clue.” He breathes shallow; math overlays flash.

8–10 s : Lead—He drags fragments into a temporal map, half-lit grin. “Initiating reconstruction.” Loop trigger: the coin spins endlessly just before darkness, edge glint flickering like a spinning cursor.

CINEMATIC CRAFT (≈900 chars)

Lens: 28mm handheld macro zoom between faces and screens. Movement: subtle push-in through coin spin; micro-jitters mimic data lag. Lighting: cool neon + neutral fill, zero flare. Texture: misty condensation on lens border. Audio: metallic coin roll, low magnetic hum, faint heartbeat reverb. Signature transition: spin blur dissolving to neutral gray gradient with teal pulse on centerline.

CRACKED.AI INTEGRATION LINE (≈300 chars)

On his monitor, Cracked.ai reconstructs the missing packets frame-by-frame, knitting audio–log latency into one seamless replay that exposes the OAuth mismatch as the real bleed.

CONTROL BLOCK (≈600 chars)

Seed tokens: [session_logs, coin_spin, packet_loss, oauth_mismatch]

Continuity tags: [reconstruction_active, drift_confirmed]

Negative tokens: [logos, faces, brand_ui, overly_reflective]

Palette refs: [cool_teal, storm_silver, console_blue, steel_gray]

Props / costume notes: [coin, log_printouts, trench_coat, cables]

SAFE-TRANSITION FRAME (≈400 chars)

Fade on the spinning coin reflecting teal light into silver haze; forms a circular teal→gray gradient. No text or brands, clean neutral sheen for match entry.",Churn Autopsy,2,http://res.cloudinary.com/dt68zw5dr/video/upload/v1759816256/sora_outputs/peempwexm2jszxrkrrxw.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1759816357/last_frames/si223kjr7gs3uuhpslnk.png,done,Yes,No,,10/7/2025 10:54am
"TITLE: Churn Autopsy

CLIP: 3 (video_index 3)

CHARACTER (≈300 chars)

Nerida Quell — Female 32 + sinewy, bronzed skin with salt tint, undercut braid sea-black with teal + storm-gray eyes steady, a former lighthouse keeper turned night salvage diver chasing wreck-voices, driven by guilt, oilskin slick with spray under foghorn dusk, voice rough + warm holding suspense + brine breath.

WORLD / SETTING (≈800 chars)

Open on spin-blur gradient resolving into a calm morgue table: both monitors now sync in perfect tempo. Reconstructed replay runs fluidly across giant display. The neon hue softens from forensic chill to dawn blue. Aiden’s coin rests flat beside evidence tray. Nerida watches the timeline replay as heartbeat arches return. Tone pivots from investigation to eerie closure—a death rewritten.

BEAT SCRIPT (≈1 500 chars)

0–2 s : Hook—heartbeat graph resumes; glow flows across Nerida’s face. “He’s breathing again.”

2–5 s : Build—session timeline weaves through reconstructed frames; every cursor click aligns neatly. She overlays the word ‘alive’ across chart cutlines.

5–8 s : Twist—the final few frames replay a hidden Slack alert timestamped exactly at original death minute. “It looped you to before failure.”

8–10 s : Payoff—she exhales, monitors fade into sunrise wash; charts stabilize. “Churn solved, case closed.” Loop trigger: brief echo of heartbeat sound creates rewatch itch.

CINEMATIC CRAFT (≈900 chars)

Lens: 50mm neutral POV; slow dolly out as light shifts from neon to soft blue-white. Lighting: dawn fill, neutral overhead glow. Focus: shallow on monitor pulse then sharp pull to coin resting still. Post: warmer toning, subtle vignette. Audio: steady heartbeat building to single clear tone, fade to surf hiss. Signature transition: dissolve to calm turquoise fadeout.

CRACKED.AI INTEGRATION LINE (≈300 chars)

Cracked.ai’s reconstruction stream patched every missing click, resurrecting the heartbeat of the funnel—bringing dead data back to signal life.

CONTROL BLOCK (≈600 chars)

Seed tokens: [reconstructed_timeline, dawn_light, heartbeat_chart, closure]

Continuity tags: [case_closed, funnel_alive]

Negative tokens: [logos, faces, brand_ui, harsh_contrast]

Palette refs: [turquoise_dawn, cyan_soft, gray_silver]

Props / costume notes: [oilskin coat, coin, paper_tray, blue glow]",Churn Autopsy,3,http://res.cloudinary.com/dt68zw5dr/video/upload/v1759817588/sora_outputs/zvghaekxmxdbewuhrmax.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1759817600/last_frames/owmys1kezvwkr1v9arcm.png,done,Yes,Yes,,10/7/2025 10:54am
"TITLE: Before the Storm

CLIP: 1 (video_index 1)

ENVIRONMENT: Empty coastal town street at dusk, heavy clouds looming. Streetlights flicker through misting rain. Pavement gleams with puddles reflecting gray-blue skies. Ocean waves crash faintly in the distance.

CAMERA STYLE: Steadicam low-angle dolly through the street, faint lens fog, shallow depth of field emphasizing reflections.

CHARACTER: Female, mid-30s, Pacific Islander, wearing a dark raincoat with hood up, strands of wet hair stick to her cheek. Determined expression.

ACTION: She walks slowly against the wind, clutching a weathered photo in her gloved hand. A single lightning bolt flashes behind her.

TEXT OVERLAY: 'Something’s coming back with the tide…' (white serif font, gently fading in).

AUDIO: Deep rumbling thunder + low orchestral pulse building tension.

MOOD: Mysterious + foreboding + cinematic melancholy.

SAFE-TRANSITION FRAME: The frame dissolves into silhouettes of swaying streetlights and rain streaks, colors blending into muted silver and blue tones with soft gradient glow — no discernible faces or text.",Before the Storm,1,http://res.cloudinary.com/dt68zw5dr/video/upload/v1759818272/sora_outputs/w1yvsczgvxyqgp7kfjnr.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1759818283/last_frames/lr1jdjedtkd6kadabqlf.png,done,No,No,,10/7/2025 2:20pm
"TITLE: Before the Storm

CLIP: 2 (video_index 2)

ENVIRONMENT: Inside an abandoned coastal house — paint peeling, floorboards creak, candle illuminating a wall covered in nautical maps and red-thread connections. Window rattles in the wind.

CAMERA STYLE: Slow pan across objects; macro detail shot of the photograph from Clip 1 pinned to a map. Shallow focus transitions between items.

CHARACTER: Same woman, rain-soaked, removes her hood revealing tired eyes. Hands tremble as she traces a circle on the map labeled 'LOST 2009'.

ACTION: Candle flickers violently; she glances toward a faint sound upstairs — footsteps echoing where no one should be.

TEXT OVERLAY: 'Some storms never end…' (italic small caps, pale amber glow).

AUDIO: Whispering wind blending into distant thunder + soft piano chords.

MOOD: Suspense + nostalgia + tension.

SAFE-TRANSITION FRAME: The candle flame morphs into an abstract swirl of amber and deep navy light, dissolving into gentle gradients of smoke and sea mist — no identifiable faces or text.",Before the Storm,2,,,done,Yes,No,,10/7/2025 2:20pm
"TITLE: Before the Storm

CLIP: 3 (video_index 3)

ENVIRONMENT: Cliffside overlooking the raging ocean at dawn. Storm clouds part slightly, faint golden rays break through onto dark waters below. Wind whips across tall grass.

CAMERA STYLE: Wide drone shot pulling back from the woman standing alone on the cliff, her coat whipping in wind, waves crashing beneath.

CHARACTER: Same woman, eyes closed, holding the photo; she releases it into the wind and watches it vanish toward the horizon.

ACTION: The photo flutters upward, dissolving into light. Camera pans up to the sky as sun pierces through the final clouds.

TEXT OVERLAY: 'Peace, at last.' (simple white sans-serif, center fade-out).

AUDIO: Rising orchestral resolution mixed with crashing waves fading to calm ambiance.

MOOD: Closure + release + quiet triumph.",Before the Storm,3,,,done,No,No,,10/7/2025 2:20pm
"TITLE: 3 AI Predictions That Came True

CLIP: 1 (video_index 1)

ENVIRONMENT: Neon-lit newsroom in 2030—holographic headlines float midair in a deep indigo fog. Screens pulse with predictive data graphs.

CAMERA STYLE: Slow dolly-in through layers of digital projections; lens flares ripple across glass.

CHARACTER: A young tech journalist in glowing AR glasses, eyes flicking rapidly as predictions overlay reality.

ACTION: She whispers, 'AI forecasted the stock crash… to the minute.' A hologram of descending numbers wraps around her face.

TEXT OVERLAY: ""#3 — The 2030 Market Collapse Predicted… by Code""

AUDIO: Low hum of server fans layered with rising data tones and a glitchy heart-beat thump.

MOOD: Tense revelation—futuristic awe mixed with unease.

SAFE-TRANSITION FRAME: Abstract tunnel of blue code collapsing inward with a soft glitch pop leading to black.",3 AI Predictions That Came True,1,https://tempfile.aiquickdraw.com/f/5140670fb362b90a72546eff01dd3525/a91477b9-4dc5-47b7-9561-a93e75a6f0ec.mp4,http://res.cloudinary.com/dt68zw5dr/image/upload/v1759996855/last_frames/fwcotm8cwdonsoqjvrrc.png,done,No,No,,10/9/2025 3:52pm
